이름 : 다차, 몸무게 : 51, 키 : 172 
이름 : 파라, 몸무게 : 82, 키 : 182 
이름 : 자라, 몸무게 : 58, 키 : 151 
이름 : 카파, 몸무게 : 95, 키 : 188 
이름 : 타바, 몸무게 : 43, 키 : 164 
이름 : 파마, 몸무게 : 87, 키 : 158 
이름 : 타차, 몸무게 : 96, 키 : 196 
이름 : 타가, 몸무게 : 67, 키 : 161 
이름 : 카마, 몸무게 : 95, 키 : 164 
이름 : 파타, 몸무게 : 52, 키 : 173 
이름 : 나하, 몸무게 : 66, 키 : 187 
이름 : 라아, 몸무게 : 69, 키 : 188 
이름 : 자마, 몸무게 : 74, 키 : 169 
이름 : 자파, 몸무게 : 85, 키 : 162 
이름 : 사바, 몸무게 : 47, 키 : 187 
이름 : 사아, 몸무게 : 70, 키 : 161 
이름 : 카타, 몸무게 : 48, 키 : 165 
이름 : 나자, 몸무게 : 66, 키 : 155 
이름 : 사바, 몸무게 : 56, 키 : 159 
이름 : 바바, 몸무게 : 94, 키 : 194 
이름 : 카바, 몸무게 : 81, 키 : 169 
이름 : 라차, 몸무게 : 41, 키 : 197 
이름 : 사자, 몸무게 : 89, 키 : 169 
이름 : 하나, 몸무게 : 76, 키 : 164 
이름 : 마차, 몸무게 : 57, 키 : 183 
이름 : 나라, 몸무게 : 48, 키 : 151 
이름 : 다사, 몸무게 : 70, 키 : 172 
이름 : 라타, 몸무게 : 69, 키 : 165 
이름 : 하마, 몸무게 : 72, 키 : 190 
이름 : 자마, 몸무게 : 60, 키 : 180 
이름 : 카마, 몸무게 : 72, 키 : 195 
이름 : 라라, 몸무게 : 98, 키 : 168 
이름 : 마아, 몸무게 : 97, 키 : 151 
이름 : 아자, 몸무게 : 69, 키 : 176 
이름 : 바가, 몸무게 : 94, 키 : 188 
이름 : 라사, 몸무게 : 61, 키 : 168 
이름 : 다차, 몸무게 : 84, 키 : 158 
이름 : 라타, 몸무게 : 69, 키 : 157 
이름 : 차사, 몸무게 : 55, 키 : 157 
이름 : 자다, 몸무게 : 58, 키 : 199 
이름 : 사다, 몸무게 : 78, 키 : 174 
이름 : 나카, 몸무게 : 92, 키 : 195 
이름 : 바가, 몸무게 : 50, 키 : 183 
이름 : 차사, 몸무게 : 44, 키 : 168 
이름 : 카차, 몸무게 : 78, 키 : 188 
이름 : 나바, 몸무게 : 92, 키 : 199 
이름 : 자카, 몸무게 : 96, 키 : 197 
이름 : 마하, 몸무게 : 85, 키 : 181 
이름 : 자마, 몸무게 : 94, 키 : 184 
이름 : 가자, 몸무게 : 78, 키 : 198 
이름 : 마카, 몸무게 : 85, 키 : 152 
이름 : 바파, 몸무게 : 96, 키 : 159 
이름 : 하카, 몸무게 : 93, 키 : 192 
이름 : 다타, 몸무게 : 60, 키 : 189 
이름 : 마자, 몸무게 : 92, 키 : 193 
이름 : 차자, 몸무게 : 67, 키 : 180 
이름 : 파가, 몸무게 : 67, 키 : 172 
이름 : 자차, 몸무게 : 61, 키 : 173 
이름 : 파하, 몸무게 : 77, 키 : 152 
이름 : 가자, 몸무게 : 89, 키 : 185 
이름 : 자차, 몸무게 : 72, 키 : 166 
이름 : 차카, 몸무게 : 52, 키 : 152 
이름 : 하바, 몸무게 : 90, 키 : 151 
이름 : 사나, 몸무게 : 66, 키 : 151 
이름 : 사마, 몸무게 : 69, 키 : 159 
이름 : 타사, 몸무게 : 92, 키 : 166 
이름 : 라하, 몸무게 : 41, 키 : 161 
이름 : 사가, 몸무게 : 81, 키 : 199 
이름 : 나카, 몸무게 : 41, 키 : 188 
이름 : 사사, 몸무게 : 84, 키 : 166 
이름 : 마가, 몸무게 : 61, 키 : 185 
이름 : 타다, 몸무게 : 95, 키 : 199 
이름 : 차사, 몸무게 : 42, 키 : 170 
이름 : 가카, 몸무게 : 49, 키 : 173 
이름 : 마파, 몸무게 : 92, 키 : 154 
이름 : 타다, 몸무게 : 84, 키 : 198 
이름 : 차하, 몸무게 : 66, 키 : 156 
이름 : 차다, 몸무게 : 65, 키 : 196 
이름 : 차하, 몸무게 : 52, 키 : 160 
이름 : 바자, 몸무게 : 79, 키 : 197 
이름 : 아바, 몸무게 : 57, 키 : 180 
이름 : 사하, 몸무게 : 87, 키 : 165 
이름 : 가아, 몸무게 : 77, 키 : 164 
이름 : 라자, 몸무게 : 74, 키 : 150 
이름 : 차가, 몸무게 : 78, 키 : 176 
이름 : 파마, 몸무게 : 55, 키 : 188 
이름 : 하자, 몸무게 : 83, 키 : 193 
이름 : 아차, 몸무게 : 79, 키 : 175 
이름 : 차타, 몸무게 : 45, 키 : 152 
이름 : 타사, 몸무게 : 59, 키 : 180 
이름 : 사자, 몸무게 : 41, 키 : 179 
이름 : 가타, 몸무게 : 80, 키 : 187 
이름 : 아다, 몸무게 : 77, 키 : 187 
이름 : 하마, 몸무게 : 97, 키 : 182 
이름 : 나마, 몸무게 : 87, 키 : 173 
이름 : 바아, 몸무게 : 54, 키 : 150 
이름 : 자라, 몸무게 : 40, 키 : 190 
이름 : 타카, 몸무게 : 49, 키 : 194 
이름 : 라마, 몸무게 : 89, 키 : 190 
이름 : 파라, 몸무게 : 64, 키 : 154 
이름 : 하자, 몸무게 : 84, 키 : 186 
이름 : 카카, 몸무게 : 57, 키 : 165 
이름 : 아하, 몸무게 : 92, 키 : 161 
이름 : 다사, 몸무게 : 49, 키 : 178 
이름 : 파자, 몸무게 : 44, 키 : 169 
이름 : 가타, 몸무게 : 92, 키 : 174 
이름 : 사카, 몸무게 : 61, 키 : 172 
이름 : 라파, 몸무게 : 61, 키 : 187 
이름 : 자타, 몸무게 : 86, 키 : 174 
이름 : 자사, 몸무게 : 97, 키 : 184 
이름 : 카가, 몸무게 : 52, 키 : 150 
이름 : 차마, 몸무게 : 74, 키 : 174 
이름 : 사타, 몸무게 : 63, 키 : 164 
이름 : 타카, 몸무게 : 63, 키 : 164 
이름 : 타가, 몸무게 : 84, 키 : 173 
이름 : 바가, 몸무게 : 80, 키 : 168 
이름 : 나파, 몸무게 : 75, 키 : 197 
이름 : 카카, 몸무게 : 94, 키 : 175 
이름 : 가카, 몸무게 : 66, 키 : 164 
이름 : 바파, 몸무게 : 71, 키 : 164 
이름 : 자타, 몸무게 : 99, 키 : 199 
이름 : 파아, 몸무게 : 63, 키 : 174 
이름 : 다하, 몸무게 : 50, 키 : 197 
이름 : 파가, 몸무게 : 95, 키 : 176 
이름 : 카다, 몸무게 : 51, 키 : 150 
이름 : 라차, 몸무게 : 96, 키 : 170 
이름 : 하타, 몸무게 : 96, 키 : 169 
이름 : 다타, 몸무게 : 83, 키 : 155 
이름 : 타자, 몸무게 : 75, 키 : 172 
이름 : 카아, 몸무게 : 54, 키 : 187 
이름 : 파가, 몸무게 : 70, 키 : 152 
이름 : 사아, 몸무게 : 45, 키 : 166 
이름 : 가바, 몸무게 : 69, 키 : 169 
이름 : 라나, 몸무게 : 97, 키 : 182 
이름 : 파가, 몸무게 : 57, 키 : 153 
이름 : 하하, 몸무게 : 81, 키 : 189 
이름 : 나파, 몸무게 : 64, 키 : 166 
이름 : 나카, 몸무게 : 64, 키 : 177 
이름 : 나타, 몸무게 : 81, 키 : 157 
이름 : 아타, 몸무게 : 77, 키 : 199 
이름 : 카라, 몸무게 : 93, 키 : 186 
이름 : 사라, 몸무게 : 84, 키 : 186 
이름 : 다자, 몸무게 : 43, 키 : 197 
이름 : 아나, 몸무게 : 74, 키 : 161 
이름 : 나나, 몸무게 : 52, 키 : 168 
이름 : 라마, 몸무게 : 98, 키 : 177 
이름 : 사타, 몸무게 : 77, 키 : 194 
이름 : 타타, 몸무게 : 91, 키 : 196 
이름 : 마아, 몸무게 : 42, 키 : 192 
이름 : 파마, 몸무게 : 78, 키 : 180 
이름 : 아사, 몸무게 : 77, 키 : 160 
이름 : 가바, 몸무게 : 91, 키 : 184 
이름 : 자차, 몸무게 : 98, 키 : 174 
이름 : 나파, 몸무게 : 40, 키 : 154 
이름 : 마타, 몸무게 : 43, 키 : 188 
이름 : 사아, 몸무게 : 77, 키 : 153 
이름 : 마아, 몸무게 : 85, 키 : 159 
이름 : 가라, 몸무게 : 53, 키 : 197 
이름 : 아가, 몸무게 : 91, 키 : 175 
이름 : 아하, 몸무게 : 52, 키 : 189 
이름 : 차차, 몸무게 : 79, 키 : 176 
이름 : 아다, 몸무게 : 50, 키 : 181 
이름 : 라파, 몸무게 : 75, 키 : 187 
이름 : 아다, 몸무게 : 87, 키 : 188 
이름 : 타하, 몸무게 : 92, 키 : 152 
이름 : 카사, 몸무게 : 44, 키 : 160 
이름 : 라파, 몸무게 : 61, 키 : 190 
이름 : 차하, 몸무게 : 86, 키 : 156 
이름 : 하바, 몸무게 : 83, 키 : 193 
이름 : 파사, 몸무게 : 52, 키 : 165 
이름 : 카사, 몸무게 : 70, 키 : 163 
이름 : 카카, 몸무게 : 98, 키 : 184 
이름 : 자카, 몸무게 : 57, 키 : 182 
이름 : 타바, 몸무게 : 94, 키 : 197 
이름 : 바아, 몸무게 : 42, 키 : 173 
이름 : 자카, 몸무게 : 77, 키 : 169 
이름 : 마나, 몸무게 : 92, 키 : 161 
이름 : 타하, 몸무게 : 54, 키 : 159 
이름 : 나라, 몸무게 : 47, 키 : 184 
이름 : 사나, 몸무게 : 52, 키 : 194 
이름 : 카하, 몸무게 : 44, 키 : 175 
이름 : 마나, 몸무게 : 85, 키 : 160 
이름 : 마아, 몸무게 : 75, 키 : 173 
이름 : 나자, 몸무게 : 86, 키 : 183 
이름 : 사자, 몸무게 : 65, 키 : 170 
이름 : 라나, 몸무게 : 96, 키 : 167 
이름 : 라나, 몸무게 : 78, 키 : 179 
이름 : 가카, 몸무게 : 48, 키 : 170 
이름 : 자카, 몸무게 : 87, 키 : 183 
이름 : 타아, 몸무게 : 59, 키 : 162 
이름 : 차아, 몸무게 : 89, 키 : 163 
이름 : 파라, 몸무게 : 50, 키 : 177 
이름 : 나차, 몸무게 : 56, 키 : 158 
이름 : 가라, 몸무게 : 74, 키 : 159 
이름 : 나하, 몸무게 : 90, 키 : 189 
이름 : 사하, 몸무게 : 97, 키 : 164 
이름 : 라마, 몸무게 : 58, 키 : 161 
이름 : 자가, 몸무게 : 58, 키 : 161 
이름 : 파파, 몸무게 : 65, 키 : 178 
이름 : 자타, 몸무게 : 66, 키 : 179 
이름 : 마파, 몸무게 : 45, 키 : 192 
이름 : 아자, 몸무게 : 85, 키 : 169 
이름 : 바자, 몸무게 : 72, 키 : 154 
이름 : 타파, 몸무게 : 81, 키 : 164 
이름 : 마자, 몸무게 : 64, 키 : 153 
이름 : 카라, 몸무게 : 47, 키 : 169 
이름 : 사다, 몸무게 : 99, 키 : 151 
이름 : 아파, 몸무게 : 66, 키 : 175 
이름 : 하바, 몸무게 : 73, 키 : 185 
이름 : 아다, 몸무게 : 41, 키 : 150 
이름 : 라파, 몸무게 : 48, 키 : 193 
이름 : 라다, 몸무게 : 83, 키 : 174 
이름 : 하타, 몸무게 : 77, 키 : 183 
이름 : 라타, 몸무게 : 50, 키 : 179 
이름 : 차하, 몸무게 : 77, 키 : 158 
이름 : 카다, 몸무게 : 88, 키 : 163 
이름 : 라마, 몸무게 : 51, 키 : 191 
이름 : 차자, 몸무게 : 49, 키 : 169 
이름 : 아가, 몸무게 : 93, 키 : 169 
이름 : 자카, 몸무게 : 50, 키 : 162 
이름 : 가가, 몸무게 : 52, 키 : 182 
이름 : 파바, 몸무게 : 45, 키 : 164 
이름 : 아사, 몸무게 : 84, 키 : 150 
이름 : 가라, 몸무게 : 87, 키 : 187 
이름 : 차카, 몸무게 : 76, 키 : 177 
이름 : 마차, 몸무게 : 52, 키 : 188 
이름 : 라바, 몸무게 : 61, 키 : 182 
이름 : 사아, 몸무게 : 43, 키 : 193 
이름 : 파하, 몸무게 : 82, 키 : 192 
이름 : 아다, 몸무게 : 78, 키 : 198 
이름 : 파카, 몸무게 : 56, 키 : 191 
이름 : 나자, 몸무게 : 43, 키 : 198 
이름 : 자마, 몸무게 : 57, 키 : 156 
이름 : 마나, 몸무게 : 98, 키 : 199 
이름 : 카가, 몸무게 : 73, 키 : 184 
이름 : 아아, 몸무게 : 66, 키 : 184 
이름 : 바다, 몸무게 : 88, 키 : 151 
이름 : 사아, 몸무게 : 43, 키 : 158 
이름 : 다라, 몸무게 : 48, 키 : 186 
이름 : 하하, 몸무게 : 85, 키 : 156 
이름 : 하자, 몸무게 : 63, 키 : 154 
이름 : 차차, 몸무게 : 71, 키 : 155 
이름 : 바사, 몸무게 : 71, 키 : 164 
이름 : 다라, 몸무게 : 62, 키 : 189 
이름 : 카라, 몸무게 : 74, 키 : 184 
이름 : 차나, 몸무게 : 52, 키 : 161 
이름 : 카카, 몸무게 : 46, 키 : 170 
이름 : 나차, 몸무게 : 42, 키 : 170 
이름 : 자파, 몸무게 : 72, 키 : 186 
이름 : 아카, 몸무게 : 76, 키 : 193 
이름 : 하카, 몸무게 : 46, 키 : 175 
이름 : 마파, 몸무게 : 67, 키 : 185 
이름 : 자하, 몸무게 : 64, 키 : 170 
이름 : 나다, 몸무게 : 46, 키 : 186 
이름 : 바바, 몸무게 : 89, 키 : 154 
이름 : 자타, 몸무게 : 57, 키 : 189 
이름 : 바나, 몸무게 : 90, 키 : 199 
이름 : 바바, 몸무게 : 77, 키 : 176 
이름 : 하사, 몸무게 : 49, 키 : 187 
이름 : 파카, 몸무게 : 80, 키 : 150 
이름 : 다타, 몸무게 : 47, 키 : 197 
이름 : 라다, 몸무게 : 90, 키 : 176 
이름 : 아나, 몸무게 : 76, 키 : 162 
이름 : 바가, 몸무게 : 94, 키 : 169 
이름 : 아마, 몸무게 : 85, 키 : 194 
이름 : 바타, 몸무게 : 93, 키 : 177 
이름 : 다바, 몸무게 : 98, 키 : 164 
이름 : 라자, 몸무게 : 88, 키 : 185 
이름 : 다자, 몸무게 : 56, 키 : 155 
이름 : 파가, 몸무게 : 53, 키 : 172 
이름 : 나타, 몸무게 : 60, 키 : 161 
이름 : 사다, 몸무게 : 75, 키 : 154 
이름 : 마파, 몸무게 : 52, 키 : 178 
이름 : 하타, 몸무게 : 53, 키 : 178 
이름 : 파마, 몸무게 : 45, 키 : 171 
이름 : 카자, 몸무게 : 95, 키 : 158 
이름 : 파나, 몸무게 : 47, 키 : 167 
이름 : 타자, 몸무게 : 94, 키 : 158 
이름 : 마가, 몸무게 : 43, 키 : 197 
이름 : 하아, 몸무게 : 92, 키 : 185 
이름 : 다차, 몸무게 : 77, 키 : 165 
이름 : 나카, 몸무게 : 42, 키 : 186 
이름 : 파타, 몸무게 : 55, 키 : 194 
이름 : 하다, 몸무게 : 83, 키 : 181 
이름 : 다나, 몸무게 : 82, 키 : 190 
이름 : 나라, 몸무게 : 63, 키 : 183 
이름 : 바사, 몸무게 : 58, 키 : 155 
이름 : 자파, 몸무게 : 61, 키 : 157 
이름 : 아자, 몸무게 : 60, 키 : 170 
이름 : 카가, 몸무게 : 91, 키 : 177 
이름 : 하타, 몸무게 : 66, 키 : 177 
이름 : 파가, 몸무게 : 56, 키 : 157 
이름 : 파차, 몸무게 : 68, 키 : 197 
이름 : 자다, 몸무게 : 59, 키 : 198 
이름 : 아라, 몸무게 : 69, 키 : 153 
이름 : 사사, 몸무게 : 64, 키 : 159 
이름 : 자바, 몸무게 : 50, 키 : 187 
이름 : 파카, 몸무게 : 92, 키 : 194 
이름 : 다하, 몸무게 : 48, 키 : 163 
이름 : 아라, 몸무게 : 40, 키 : 177 
이름 : 나마, 몸무게 : 47, 키 : 199 
이름 : 차아, 몸무게 : 49, 키 : 158 
이름 : 사카, 몸무게 : 90, 키 : 179 
이름 : 파다, 몸무게 : 40, 키 : 174 
이름 : 하다, 몸무게 : 69, 키 : 162 
이름 : 바하, 몸무게 : 41, 키 : 159 
이름 : 마나, 몸무게 : 51, 키 : 195 
이름 : 바하, 몸무게 : 94, 키 : 150 
이름 : 사파, 몸무게 : 87, 키 : 171 
이름 : 마하, 몸무게 : 71, 키 : 198 
이름 : 파라, 몸무게 : 72, 키 : 192 
이름 : 차바, 몸무게 : 55, 키 : 188 
이름 : 바아, 몸무게 : 42, 키 : 160 
이름 : 바나, 몸무게 : 61, 키 : 180 
이름 : 카바, 몸무게 : 72, 키 : 179 
이름 : 하다, 몸무게 : 83, 키 : 198 
이름 : 마마, 몸무게 : 60, 키 : 154 
이름 : 타파, 몸무게 : 69, 키 : 169 
이름 : 가마, 몸무게 : 52, 키 : 156 
이름 : 라카, 몸무게 : 63, 키 : 165 
이름 : 자자, 몸무게 : 76, 키 : 197 
이름 : 라아, 몸무게 : 54, 키 : 152 
이름 : 가타, 몸무게 : 67, 키 : 194 
이름 : 카바, 몸무게 : 48, 키 : 171 
이름 : 다나, 몸무게 : 75, 키 : 191 
이름 : 카나, 몸무게 : 51, 키 : 193 
이름 : 바사, 몸무게 : 58, 키 : 156 
이름 : 타라, 몸무게 : 71, 키 : 181 
이름 : 다마, 몸무게 : 84, 키 : 180 
이름 : 가마, 몸무게 : 90, 키 : 151 
이름 : 하차, 몸무게 : 92, 키 : 152 
이름 : 차차, 몸무게 : 66, 키 : 156 
이름 : 나사, 몸무게 : 55, 키 : 199 
이름 : 다다, 몸무게 : 68, 키 : 150 
이름 : 자타, 몸무게 : 68, 키 : 197 
이름 : 가타, 몸무게 : 81, 키 : 168 
이름 : 다차, 몸무게 : 48, 키 : 190 
이름 : 파차, 몸무게 : 85, 키 : 171 
이름 : 라타, 몸무게 : 93, 키 : 170 
이름 : 카아, 몸무게 : 73, 키 : 166 
이름 : 라하, 몸무게 : 99, 키 : 151 
이름 : 자하, 몸무게 : 45, 키 : 186 
이름 : 타다, 몸무게 : 62, 키 : 164 
이름 : 카타, 몸무게 : 45, 키 : 170 
이름 : 가카, 몸무게 : 48, 키 : 167 
이름 : 가사, 몸무게 : 52, 키 : 170 
이름 : 마아, 몸무게 : 97, 키 : 166 
이름 : 파차, 몸무게 : 61, 키 : 192 
이름 : 아차, 몸무게 : 85, 키 : 171 
이름 : 차차, 몸무게 : 66, 키 : 199 
이름 : 자가, 몸무게 : 57, 키 : 166 
이름 : 파타, 몸무게 : 65, 키 : 156 
이름 : 아차, 몸무게 : 96, 키 : 151 
이름 : 사차, 몸무게 : 93, 키 : 176 
이름 : 다다, 몸무게 : 92, 키 : 153 
이름 : 사라, 몸무게 : 99, 키 : 181 
이름 : 바파, 몸무게 : 85, 키 : 160 
이름 : 가하, 몸무게 : 74, 키 : 161 
이름 : 가사, 몸무게 : 85, 키 : 155 
이름 : 차다, 몸무게 : 76, 키 : 186 
이름 : 타나, 몸무게 : 55, 키 : 184 
이름 : 아타, 몸무게 : 49, 키 : 187 
이름 : 라자, 몸무게 : 47, 키 : 194 
이름 : 타자, 몸무게 : 92, 키 : 192 
이름 : 파라, 몸무게 : 82, 키 : 162 
이름 : 바가, 몸무게 : 83, 키 : 178 
이름 : 가나, 몸무게 : 40, 키 : 169 
이름 : 카카, 몸무게 : 84, 키 : 192 
이름 : 자카, 몸무게 : 40, 키 : 151 
이름 : 차하, 몸무게 : 75, 키 : 168 
이름 : 아사, 몸무게 : 85, 키 : 166 
이름 : 바마, 몸무게 : 66, 키 : 152 
이름 : 파마, 몸무게 : 98, 키 : 150 
이름 : 나마, 몸무게 : 97, 키 : 173 
이름 : 가카, 몸무게 : 66, 키 : 168 
이름 : 하나, 몸무게 : 58, 키 : 188 
이름 : 아차, 몸무게 : 76, 키 : 164 
이름 : 다바, 몸무게 : 62, 키 : 197 
이름 : 라아, 몸무게 : 88, 키 : 172 
이름 : 바자, 몸무게 : 96, 키 : 169 
이름 : 아다, 몸무게 : 59, 키 : 155 
이름 : 바카, 몸무게 : 44, 키 : 175 
이름 : 카카, 몸무게 : 99, 키 : 186 
이름 : 타마, 몸무게 : 71, 키 : 196 
이름 : 자사, 몸무게 : 73, 키 : 164 
이름 : 하카, 몸무게 : 96, 키 : 179 
이름 : 다차, 몸무게 : 77, 키 : 160 
이름 : 자라, 몸무게 : 79, 키 : 151 
이름 : 다차, 몸무게 : 93, 키 : 193 
이름 : 차다, 몸무게 : 76, 키 : 199 
이름 : 마차, 몸무게 : 94, 키 : 182 
이름 : 하라, 몸무게 : 87, 키 : 194 
이름 : 가아, 몸무게 : 62, 키 : 159 
이름 : 타사, 몸무게 : 49, 키 : 196 
이름 : 바라, 몸무게 : 53, 키 : 198 
이름 : 바바, 몸무게 : 47, 키 : 170 
이름 : 자다, 몸무게 : 43, 키 : 190 
이름 : 자자, 몸무게 : 62, 키 : 180 
이름 : 카사, 몸무게 : 98, 키 : 151 
이름 : 차하, 몸무게 : 46, 키 : 189 
이름 : 나바, 몸무게 : 76, 키 : 184 
이름 : 파가, 몸무게 : 73, 키 : 174 
이름 : 라카, 몸무게 : 50, 키 : 174 
이름 : 마파, 몸무게 : 44, 키 : 179 
이름 : 자라, 몸무게 : 93, 키 : 166 
이름 : 가마, 몸무게 : 50, 키 : 158 
이름 : 파사, 몸무게 : 91, 키 : 161 
이름 : 차나, 몸무게 : 53, 키 : 171 
이름 : 파타, 몸무게 : 65, 키 : 197 
이름 : 마카, 몸무게 : 42, 키 : 199 
이름 : 마차, 몸무게 : 48, 키 : 156 
이름 : 가카, 몸무게 : 51, 키 : 197 
이름 : 아하, 몸무게 : 69, 키 : 166 
이름 : 바나, 몸무게 : 86, 키 : 158 
이름 : 아사, 몸무게 : 49, 키 : 151 
이름 : 자라, 몸무게 : 90, 키 : 171 
이름 : 마타, 몸무게 : 61, 키 : 173 
이름 : 하아, 몸무게 : 88, 키 : 193 
이름 : 카다, 몸무게 : 92, 키 : 184 
이름 : 아라, 몸무게 : 41, 키 : 158 
이름 : 자타, 몸무게 : 95, 키 : 182 
이름 : 사바, 몸무게 : 91, 키 : 199 
이름 : 타파, 몸무게 : 89, 키 : 191 
이름 : 마라, 몸무게 : 80, 키 : 192 
이름 : 타자, 몸무게 : 82, 키 : 186 
이름 : 다나, 몸무게 : 90, 키 : 192 
이름 : 타나, 몸무게 : 42, 키 : 153 
이름 : 나나, 몸무게 : 93, 키 : 172 
이름 : 라아, 몸무게 : 74, 키 : 172 
이름 : 타파, 몸무게 : 46, 키 : 157 
이름 : 사차, 몸무게 : 58, 키 : 171 
이름 : 라아, 몸무게 : 70, 키 : 198 
이름 : 카나, 몸무게 : 62, 키 : 176 
이름 : 차마, 몸무게 : 87, 키 : 151 
이름 : 나라, 몸무게 : 91, 키 : 187 
이름 : 나나, 몸무게 : 71, 키 : 176 
이름 : 다자, 몸무게 : 97, 키 : 197 
이름 : 사마, 몸무게 : 97, 키 : 193 
이름 : 나차, 몸무게 : 93, 키 : 152 
이름 : 자타, 몸무게 : 87, 키 : 176 
이름 : 라자, 몸무게 : 86, 키 : 180 
이름 : 카파, 몸무게 : 79, 키 : 182 
이름 : 파파, 몸무게 : 68, 키 : 167 
이름 : 아라, 몸무게 : 59, 키 : 174 
이름 : 다바, 몸무게 : 93, 키 : 153 
이름 : 라나, 몸무게 : 79, 키 : 158 
이름 : 다나, 몸무게 : 40, 키 : 186 
이름 : 카아, 몸무게 : 69, 키 : 163 
이름 : 차다, 몸무게 : 40, 키 : 160 
이름 : 마사, 몸무게 : 85, 키 : 170 
이름 : 하바, 몸무게 : 82, 키 : 179 
이름 : 나사, 몸무게 : 41, 키 : 192 
이름 : 나아, 몸무게 : 66, 키 : 190 
이름 : 라바, 몸무게 : 59, 키 : 157 
이름 : 가가, 몸무게 : 52, 키 : 170 
이름 : 마사, 몸무게 : 42, 키 : 181 
이름 : 마바, 몸무게 : 91, 키 : 198 
이름 : 파자, 몸무게 : 95, 키 : 176 
이름 : 사파, 몸무게 : 52, 키 : 169 
이름 : 파차, 몸무게 : 61, 키 : 196 
이름 : 차하, 몸무게 : 75, 키 : 196 
이름 : 아바, 몸무게 : 89, 키 : 173 
이름 : 하사, 몸무게 : 91, 키 : 151 
이름 : 나다, 몸무게 : 94, 키 : 189 
